Hybridization REF	TCGA-01-0629-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
DarkCorner	4.9191491
dmr_285	7.900599893
dmr_3	10.72173153
dmr_308	4.642992824
dmr_316	4.787030241
dmr_31a	8.741464186
dmr_6	4.349107374
ebv-miR-BART1-3p	4.656004112
ebv-miR-BART1-5p	4.703006846
ebv-miR-BART10	4.639760392
ebv-miR-BART10*	4.735755057
ebv-miR-BART11-3p	4.604473911
ebv-miR-BART11-5p	4.655460117
ebv-miR-BART12	4.791134463
ebv-miR-BART13	8.476877722
ebv-miR-BART13*	4.539825911
ebv-miR-BART14	4.60793007
ebv-miR-BART14*	4.626949172
ebv-miR-BART15	4.692658555
ebv-miR-BART16	4.910216857
ebv-miR-BART17-3p	4.757590449
ebv-miR-BART17-5p	4.522570186
ebv-miR-BART18-3p	4.602675476
ebv-miR-BART18-5p	4.667688304
ebv-miR-BART19-3p	8.484889789
ebv-miR-BART19-5p	4.531591021
ebv-miR-BART2-3p	4.554408348
ebv-miR-BART2-5p	4.660577682
ebv-miR-BART20-3p	4.610390068
ebv-miR-BART20-5p	4.585164164
ebv-miR-BART3	4.60249997
ebv-miR-BART3*	4.678383414
ebv-miR-BART4	4.705052526
ebv-miR-BART5	4.595130159
ebv-miR-BART6-3p	4.545127524
ebv-miR-BART6-5p	4.568277829
ebv-miR-BART7	5.071092671
ebv-miR-BART7*	4.61337142
ebv-miR-BART8	4.724705511
ebv-miR-BART8*	4.575161242
ebv-miR-BART9	4.656357185
ebv-miR-BART9*	4.593534924
ebv-miR-BHRF1-1	4.728314172
ebv-miR-BHRF1-2	4.581014921
ebv-miR-BHRF1-2*	4.588237449
ebv-miR-BHRF1-3	4.592189818
hcmv-miR-UL112	4.660994195
hcmv-miR-UL148D	4.780270003
hcmv-miR-UL22A	4.604477468
hcmv-miR-UL22A*	4.584623444
hcmv-miR-UL36	4.932750604
hcmv-miR-UL36*	4.642891848
hcmv-miR-UL70-3p	8.805735377
hcmv-miR-UL70-5p	4.554923067
hcmv-miR-US25-1	4.592089036
hcmv-miR-US25-1*	4.630335476
hcmv-miR-US25-2-3p	4.563239831
hcmv-miR-US25-2-5p	4.651487133
hcmv-miR-US33-3p	4.578901734
hcmv-miR-US33-5p	5.081566734
hcmv-miR-US4	5.777295321
hcmv-miR-US5-1	4.61974828
hcmv-miR-US5-2	4.586048108
hiv1-miR-H1	7.604326079
hiv1-miR-N367	4.661802955
hsa-let-7a	11.13036558
hsa-let-7a*	4.725117471
hsa-let-7b	14.27467646
hsa-let-7b*	4.81901675
hsa-let-7c	11.32019746
hsa-let-7c*	4.588706004
hsa-let-7d	7.893602339
hsa-let-7d*	4.800643814
hsa-let-7e	7.03160526
hsa-let-7e*	4.743507872
hsa-let-7f	9.364455892
hsa-let-7f-1*	4.76516625
hsa-let-7f-2*	4.671487999
hsa-let-7g	9.124032244
hsa-let-7g*	4.649853624
hsa-let-7i	11.78955839
hsa-let-7i*	4.594896859
hsa-miR-1	5.881966312
hsa-miR-100	11.00100671
hsa-miR-100*	4.644656006
hsa-miR-101	9.162159901
hsa-miR-101*	5.055704139
hsa-miR-103	10.62436748
hsa-miR-105	4.586260273
hsa-miR-105*	4.669024377
hsa-miR-106a	6.329243364
hsa-miR-106a*	4.664392962
hsa-miR-106b	10.25630636
hsa-miR-106b*	4.793179089
hsa-miR-107	8.969925035
