Hybridization REF	TCGA-10-0936-01A-01T-0407-07
Composite Element REF	unc_DWD_Batch_adjusted
DarkCorner	4.72436914
dmr_285	9.709880751
dmr_3	10.66378646
dmr_308	4.592726403
dmr_316	4.667505543
dmr_31a	9.256297565
dmr_6	6.085959178
ebv-miR-BART1-3p	4.66378615
ebv-miR-BART1-5p	4.668711933
ebv-miR-BART10	4.77149626
ebv-miR-BART10*	4.687255013
ebv-miR-BART11-3p	4.652744237
ebv-miR-BART11-5p	4.59477471
ebv-miR-BART12	6.306774117
ebv-miR-BART13	6.673372166
ebv-miR-BART13*	4.56364961
ebv-miR-BART14	4.618903562
ebv-miR-BART14*	4.619806183
ebv-miR-BART15	4.68921512
ebv-miR-BART16	5.820185088
ebv-miR-BART17-3p	4.696105203
ebv-miR-BART17-5p	4.543808159
ebv-miR-BART18-3p	4.597936048
ebv-miR-BART18-5p	4.618777912
ebv-miR-BART19-3p	6.744999681
ebv-miR-BART19-5p	4.561324726
ebv-miR-BART2-3p	4.51838627
ebv-miR-BART2-5p	4.788852984
ebv-miR-BART20-3p	4.614203085
ebv-miR-BART20-5p	4.704724035
ebv-miR-BART3	4.599096194
ebv-miR-BART3*	4.763443425
ebv-miR-BART4	4.840207105
ebv-miR-BART5	4.642649188
ebv-miR-BART6-3p	4.573425978
ebv-miR-BART6-5p	4.611823057
ebv-miR-BART7	4.857319467
ebv-miR-BART7*	4.589680828
ebv-miR-BART8	4.562032322
ebv-miR-BART8*	4.617703421
ebv-miR-BART9	4.602452824
ebv-miR-BART9*	4.62613204
ebv-miR-BHRF1-1	4.633623852
ebv-miR-BHRF1-2	4.597384984
ebv-miR-BHRF1-2*	4.559433278
ebv-miR-BHRF1-3	4.617285543
hcmv-miR-UL112	4.632835371
hcmv-miR-UL148D	4.847056844
hcmv-miR-UL22A	4.719691474
hcmv-miR-UL22A*	4.60671987
hcmv-miR-UL36	4.75133384
hcmv-miR-UL36*	4.619321874
hcmv-miR-UL70-3p	6.572162905
hcmv-miR-UL70-5p	4.568967324
hcmv-miR-US25-1	4.631303576
hcmv-miR-US25-1*	4.601058157
hcmv-miR-US25-2-3p	4.650200838
hcmv-miR-US25-2-5p	4.716206482
hcmv-miR-US33-3p	4.878645049
hcmv-miR-US33-5p	4.79680466
