Hybridization REF	TCGA-01-0631-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
DarkCorner	4.590440064
dmr_285	5.180862672
dmr_3	10.96692344
dmr_308	5.584238243
dmr_316	4.644326238
dmr_31a	7.509897809
dmr_6	4.128990541
ebv-miR-BART1-3p	5.170680867
ebv-miR-BART1-5p	4.85517474
ebv-miR-BART10	4.742815374
ebv-miR-BART10*	4.734904204
ebv-miR-BART11-3p	4.605976654
ebv-miR-BART11-5p	4.711532883
ebv-miR-BART12	5.449280911
ebv-miR-BART13	9.972312956
ebv-miR-BART13*	4.892725495
ebv-miR-BART14	4.599043372
ebv-miR-BART14*	5.167186478
ebv-miR-BART15	4.683488191
ebv-miR-BART16	4.586931409
ebv-miR-BART17-3p	4.685451676
ebv-miR-BART17-5p	4.647145299
ebv-miR-BART18-3p	4.674973373
ebv-miR-BART18-5p	5.2371249
ebv-miR-BART19-3p	10.50894939
ebv-miR-BART19-5p	4.714906166
ebv-miR-BART2-3p	5.037815611
ebv-miR-BART2-5p	4.701861434
ebv-miR-BART20-3p	5.106220433
ebv-miR-BART20-5p	4.742465427
ebv-miR-BART3	5.374424833
ebv-miR-BART3*	4.801532464
ebv-miR-BART4	4.925210057
ebv-miR-BART5	4.817181538
ebv-miR-BART6-3p	4.603690227
ebv-miR-BART6-5p	4.655417622
ebv-miR-BART7	4.802058114
ebv-miR-BART7*	5.090805731
ebv-miR-BART8	4.63992622
ebv-miR-BART8*	4.659046851
ebv-miR-BART9	4.574526043
ebv-miR-BART9*	4.673468817
ebv-miR-BHRF1-1	4.902603426
ebv-miR-BHRF1-2	5.024054803
ebv-miR-BHRF1-2*	4.552688302
ebv-miR-BHRF1-3	4.463695609
hcmv-miR-UL112	4.952222144
hcmv-miR-UL148D	5.06730218
hcmv-miR-UL22A	4.532341946
hcmv-miR-UL22A*	4.807571797
hcmv-miR-UL36	4.814205449
hcmv-miR-UL36*	4.699679696
hcmv-miR-UL70-3p	9.438196747
hcmv-miR-UL70-5p	4.90937546
hcmv-miR-US25-1	4.71646797
hcmv-miR-US25-1*	4.633728147
hcmv-miR-US25-2-3p	4.998090593
hcmv-miR-US25-2-5p	4.70746033
hcmv-miR-US33-3p	4.577279351
hcmv-miR-US33-5p	4.981089215
hcmv-miR-US4	5.261346408
hcmv-miR-US5-1	4.694368423
hcmv-miR-US5-2	4.744606641
hiv1-miR-H1	9.134799019
hiv1-miR-N367	4.664089354
hsa-let-7a	10.70048965
hsa-let-7a*	4.841408779
hsa-let-7b	14.38896198
hsa-let-7b*	4.853634862
hsa-let-7c	12.13335244
hsa-let-7c*	4.596879308
hsa-let-7d	6.654565831
hsa-let-7d*	4.636296524
hsa-let-7e	5.199373123
hsa-let-7e*	4.532055754
hsa-let-7f	7.790064389
hsa-let-7f-1*	5.139941746
hsa-let-7f-2*	4.66256108
hsa-let-7g	5.804193604
hsa-let-7g*	4.539843247
hsa-let-7i	9.356255839
hsa-let-7i*	5.436572074
hsa-miR-1	5.25162492
hsa-miR-100	12.71781743
hsa-miR-100*	4.626351266
hsa-miR-101	9.508106499
hsa-miR-101*	4.784872778
hsa-miR-103	9.398974476
hsa-miR-105	4.573752934
hsa-miR-105*	4.745651545
hsa-miR-106a	4.866587257
hsa-miR-106a*	5.050562768
hsa-miR-106b	9.932843383
hsa-miR-106b*	4.729054479
hsa-miR-107	7.681158458
hsa-miR-10a	5.955541574
hsa-miR-10a*	4.175775567
hsa-miR-10b	7.181957877
hsa-miR-10b*	5.866472713
hsa-miR-122	7.020165423
hsa-miR-122*	4.892823022
hsa-miR-1224-3p	4.652993795
hsa-miR-1224-5p	8.307492704
hsa-miR-1225-3p	5.181307025
hsa-miR-1225-5p	13.270561
hsa-miR-1226	4.749753927
hsa-miR-1226*	6.179869688
