Hybridization REF	TCGA-01-0628-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
DarkCorner	4.858348896
dmr_285	9.76837394
dmr_3	10.79907721
dmr_308	4.650525044
dmr_316	4.75849097
dmr_31a	9.810764365
dmr_6	4.815630536
ebv-miR-BART1-3p	4.668550563
ebv-miR-BART1-5p	4.579949526
ebv-miR-BART10	4.61887728
ebv-miR-BART10*	4.747919707
ebv-miR-BART11-3p	4.553926812
ebv-miR-BART11-5p	4.698162176
ebv-miR-BART12	4.485123799
ebv-miR-BART13	7.084055898
ebv-miR-BART13*	4.567150903
ebv-miR-BART14	4.594827136
ebv-miR-BART14*	4.601830888
ebv-miR-BART15	4.735713694
ebv-miR-BART16	4.624215056
ebv-miR-BART17-3p	4.650057316
ebv-miR-BART17-5p	4.564321716
ebv-miR-BART18-3p	4.642327149
ebv-miR-BART18-5p	4.661962229
ebv-miR-BART19-3p	7.22685934
ebv-miR-BART19-5p	4.622131391
ebv-miR-BART2-3p	4.59965573
ebv-miR-BART2-5p	4.664286205
ebv-miR-BART20-3p	4.617453301
ebv-miR-BART20-5p	4.573557897
ebv-miR-BART3	4.571747651
ebv-miR-BART3*	4.650876192
ebv-miR-BART4	4.573296167
ebv-miR-BART5	4.633971244
ebv-miR-BART6-3p	4.612036234
ebv-miR-BART6-5p	4.616809666
ebv-miR-BART7	5.051234137
ebv-miR-BART7*	4.581623914
ebv-miR-BART8	4.621689245
ebv-miR-BART8*	4.609563627
ebv-miR-BART9	4.612909316
ebv-miR-BART9*	4.625729302
ebv-miR-BHRF1-1	4.630940319
ebv-miR-BHRF1-2	4.594042824
ebv-miR-BHRF1-2*	4.656761983
ebv-miR-BHRF1-3	4.561721747
hcmv-miR-UL112	4.569301833
hcmv-miR-UL148D	4.738040771
hcmv-miR-UL22A	4.657607562
hcmv-miR-UL22A*	4.65876985
hcmv-miR-UL36	4.793913246
hcmv-miR-UL36*	4.603639202
hcmv-miR-UL70-3p	7.270782129
hcmv-miR-UL70-5p	4.579924918
hcmv-miR-US25-1	4.592478582
hcmv-miR-US25-1*	4.60252185
hcmv-miR-US25-2-3p	4.555155281
hcmv-miR-US25-2-5p	4.688267348
hcmv-miR-US33-3p	4.60592536
hcmv-miR-US33-5p	4.936707439
hcmv-miR-US4	5.273200339
hcmv-miR-US5-1	4.635968432
hcmv-miR-US5-2	4.640982152
hiv1-miR-H1	6.66131203
hiv1-miR-N367	4.68599499
hsa-let-7a	12.58445758
hsa-let-7a*	4.975418828
hsa-let-7b	14.11643177
hsa-let-7b*	4.62050077
hsa-let-7c	12.13031474
hsa-let-7c*	4.677947916
hsa-let-7d	9.579170646
hsa-let-7d*	4.783601532
hsa-let-7e	9.014048866
hsa-let-7e*	5.063707288
hsa-let-7f	10.84079802
hsa-let-7f-1*	4.623618531
hsa-let-7f-2*	4.707358998
hsa-let-7g	10.51298095
hsa-let-7g*	4.758714865
hsa-let-7i	11.23646073
hsa-let-7i*	4.817907163
hsa-miR-1	7.134314987
hsa-miR-100	12.01162418
hsa-miR-100*	4.867831908
hsa-miR-101	10.47636233
hsa-miR-101*	5.83327694
hsa-miR-103	10.20965812
hsa-miR-105	4.65603095
hsa-miR-105*	4.641182761
hsa-miR-106a	6.15247663
hsa-miR-106a*	4.692292843
hsa-miR-106b	9.983599409
hsa-miR-106b*	4.571622743
hsa-miR-107	9.367063736
hsa-miR-10a	9.27897318
hsa-miR-10a*	5.101291113
hsa-miR-10b	10.12842385
hsa-miR-10b*	5.845923612
hsa-miR-122	4.673515591
hsa-miR-122*	4.677220726
hsa-miR-1224-3p	4.695218068
hsa-miR-1224-5p	6.64550768
hsa-miR-1225-3p	5.348373763
hsa-miR-1225-5p	11.0259175
hsa-miR-1226	4.623594535
hsa-miR-1226*	5.864406942
hsa-miR-1227	4.653559972
hsa-miR-1228	5.684182292
hsa-miR-1228*	4.628963821
hsa-miR-1229	4.982153098
hsa-miR-1231	4.552631597
hsa-miR-1233	4.555505119
hsa-miR-1234	5.728421422
hsa-miR-1236	4.717074753
hsa-miR-1237	4.951610525
hsa-miR-1238	5.110995185
hsa-miR-124	4.673424069
hsa-miR-124*	4.576005885
hsa-miR-125a-3p	7.15700467
hsa-miR-125a-5p	7.643959258
hsa-miR-125b	12.46910291
hsa-miR-125b-1*	4.767295695
hsa-miR-125b-2*	7.039836365
hsa-miR-126	11.9963541
hsa-miR-126*	6.061229061
hsa-miR-127-3p	7.984018239
hsa-miR-127-5p	4.669560131
hsa-miR-128	5.911051894
hsa-miR-129-3p	5.471277226
hsa-miR-129-5p	5.191108888
hsa-miR-129*	5.195720782
hsa-miR-130a	11.76546749
hsa-miR-130a*	4.668376772
hsa-miR-130b	7.573424548
hsa-miR-130b*	4.64435601
hsa-miR-132	7.237503681
hsa-miR-132*	5.042926945
hsa-miR-133a	6.784374636
hsa-miR-133b	9.642461945
hsa-miR-134	7.568797629
hsa-miR-135a	3.531909442
hsa-miR-135a*	6.946754155
hsa-miR-135b	5.927646407
hsa-miR-135b*	4.635128784
hsa-miR-136	9.031834499
hsa-miR-136*	6.54189403
hsa-miR-137	4.665373715
hsa-miR-138	4.730467349
hsa-miR-138-1*	4.614455906
hsa-miR-138-2*	4.728777062
hsa-miR-139-3p	5.766457483
hsa-miR-139-5p	7.22051439
hsa-miR-140-3p	10.48229452
hsa-miR-140-5p	9.379202567
hsa-miR-141	13.372245
hsa-miR-141*	4.545941125
hsa-miR-142-3p	8.206376566
hsa-miR-142-5p	7.376627851
hsa-miR-143	9.976205509
hsa-miR-143*	8.434361271
hsa-miR-144	10.8733115
hsa-miR-144*	5.11130805
hsa-miR-145	13.77723783
hsa-miR-145*	8.29137459
hsa-miR-146a	5.855693762
hsa-miR-146a*	4.63489837
hsa-miR-146b-3p	4.611805738
hsa-miR-146b-5p	6.24359278
hsa-miR-147	4.610519344
hsa-miR-147b	4.597062532
hsa-miR-148a	10.31067519
hsa-miR-148a*	4.756467092
hsa-miR-148b	7.073517476
hsa-miR-148b*	4.61017661
hsa-miR-149	5.067816728
hsa-miR-149*	4.978496714
hsa-miR-150	7.929035601
hsa-miR-150*	6.638799456
hsa-miR-151-3p	15.05804182
hsa-miR-151-5p	8.941165771
hsa-miR-152	7.194060324
hsa-miR-153	4.829204139
hsa-miR-154	6.239673412
hsa-miR-154*	5.18577181
hsa-miR-155	5.820094388
hsa-miR-155*	4.674177346
hsa-miR-15a	9.073176405
hsa-miR-15a*	4.599275322
hsa-miR-15b	8.834584368
hsa-miR-15b*	4.504170747
hsa-miR-16	10.31102861
hsa-miR-16-1*	4.62430894
hsa-miR-16-2*	4.697812112
hsa-miR-17	8.455959397
hsa-miR-17*	6.804492584
