GENE_ID	CD274
COMMON	29126
TCGA-04-1331-01	-1.526894666
TCGA-04-1332-01	-0.921116611
TCGA-04-1335-01	NA
TCGA-04-1336-01	0.724923981
TCGA-04-1337-01	-0.520546859
TCGA-04-1338-01	0.750699326
TCGA-04-1341-01	-0.690398772
TCGA-04-1342-01	-0.324735255
TCGA-04-1343-01	-0.640840441
TCGA-04-1346-01	-0.016429799
TCGA-04-1347-01	-0.587388436
TCGA-04-1348-01	1.150648694
TCGA-04-1349-01	-1.96457955
TCGA-04-1350-01	-0.423103935
TCGA-04-1356-01	-0.88834965
TCGA-04-1357-01	1.967373345
TCGA-04-1360-01	NA
TCGA-04-1361-01	-0.711952311
TCGA-04-1362-01	-0.645887732
TCGA-04-1364-01	-1.075823257
TCGA-04-1365-01	0.851528825
TCGA-04-1367-01	-1.160867848
TCGA-04-1370-01	NaN
TCGA-04-1514-01	-0.067500687
TCGA-04-1516-01	NaN
TCGA-04-1517-01	-0.863635144
TCGA-04-1519-01	-1.80513003
TCGA-04-1525-01	-0.18025363
TCGA-04-1530-01	2.044043937
TCGA-04-1536-01	-0.094310166
TCGA-04-1542-01	-1.239979308
TCGA-04-1638-01	-0.920775484
TCGA-04-1644-01	NaN
TCGA-04-1646-01	-2.378377406
TCGA-04-1648-01	0.698352917
TCGA-04-1649-01	-1.015416738
TCGA-04-1651-01	0.124388961
TCGA-04-1652-01	-0.568617877
TCGA-04-1654-01	-0.865611567
TCGA-04-1655-01	-1.497075732
TCGA-09-0364-01	-0.920195266
TCGA-09-0366-01	-0.668513766
TCGA-09-0367-01	-0.638159894
TCGA-09-0369-01	-1.452140487
TCGA-09-1659-01	-0.275415187
TCGA-09-1661-01	-1.925660639
TCGA-09-1662-01	0.430465722
TCGA-09-1664-01	NA
TCGA-09-1665-01	0.213632691
TCGA-09-1666-01	1.446468507
TCGA-09-1667-01	2.547927204
TCGA-09-1668-01	2.871888249
TCGA-09-1669-01	0.833232138
TCGA-09-1670-01	-0.34855031
TCGA-09-1673-01	0.240807274
TCGA-09-1674-01	-1.430185455
TCGA-09-2043-01	NA
TCGA-09-2044-01	-0.148647413
TCGA-09-2045-01	0.472082289
TCGA-09-2048-01	-1.279784229
TCGA-09-2049-01	-1.924573484
TCGA-09-2050-01	-0.110495507
TCGA-09-2051-01	0.395004973
TCGA-09-2053-01	-0.351773005
TCGA-09-2054-01	-0.605850447
TCGA-09-2055-01	NA
TCGA-09-2056-01	-0.797681964
TCGA-10-0925-01	NA
TCGA-10-0926-01	-0.619285013
TCGA-10-0927-01	-1.229785003
TCGA-10-0928-01	-1.104430748
TCGA-10-0930-01	0.28064591
TCGA-10-0931-01	-0.276556839
TCGA-10-0933-01	-0.127185041
TCGA-10-0934-01	-0.567698481
TCGA-10-0935-01	-0.900212898
TCGA-10-0936-01	0.278296659
TCGA-10-0937-01	-1.044484545
TCGA-10-0938-01	-0.493140898
TCGA-13-0714-01	-0.658090315
TCGA-13-0717-01	-0.823807903
TCGA-13-0720-01	-0.439765633
TCGA-13-0723-01	0.845419269
TCGA-13-0724-01	-0.291467182
TCGA-13-0725-01	-0.884997637
TCGA-13-0726-01	-0.066632579
TCGA-13-0727-01	-0.784385282
TCGA-13-0730-01	-0.245507279
TCGA-13-0751-01	-0.144580934
TCGA-13-0755-01	0.390126524
TCGA-13-0757-01	-0.595774159
TCGA-13-0760-01	-0.696878231
TCGA-13-0761-01	0.528028425
TCGA-13-0762-01	-0.79783326
TCGA-13-0764-01	0.246042161
TCGA-13-0765-01	-0.821504765
TCGA-13-0766-01	-0.655374864
TCGA-13-0768-01	0.806791008
TCGA-13-0791-01	0.766359611
TCGA-13-0792-01	1.56319429
TCGA-13-0793-01	-0.288542168
TCGA-13-0794-01	-0.380164305
TCGA-13-0795-01	-0.333308023
TCGA-13-0797-01	-0.748529576
TCGA-13-0799-01	0.477976042
TCGA-13-0800-01	-0.815600974
TCGA-13-0801-01	0.026738632
TCGA-13-0802-01	-1.134896529
TCGA-13-0803-01	0.505327851
TCGA-13-0804-01	-0.980301059
TCGA-13-0805-01	0.052772488
TCGA-13-0807-01	-0.323195714
TCGA-13-0883-01	-0.069212269
TCGA-13-0884-01	1.340823295
TCGA-13-0885-01	0.625561681
TCGA-13-0886-01	-0.362281357
TCGA-13-0887-01	-0.518243012
TCGA-13-0888-01	-1.369949886
TCGA-13-0889-01	-0.55875532
TCGA-13-0890-01	-0.742934538
TCGA-13-0891-01	1.315430645
TCGA-13-0893-01	0.720933492
TCGA-13-0894-01	-0.749778515
TCGA-13-0897-01	-0.099723596
TCGA-13-0899-01	-1.068088699
TCGA-13-0900-01	0.841356757
TCGA-13-0901-01	0.255527976
TCGA-13-0903-01	0.090035877
TCGA-13-0904-01	0.444737826
TCGA-13-0905-01	0.137940051
TCGA-13-0906-01	-0.468150588
TCGA-13-0908-01	0.187542955
TCGA-13-0910-01	-0.5241007
TCGA-13-0911-01	-0.511978696
TCGA-13-0912-01	-0.938061385
TCGA-13-0913-01	-0.855528419
TCGA-13-0916-01	-0.200689171
TCGA-13-0919-01	-0.768408492
TCGA-13-0920-01	-0.760134305
TCGA-13-0921-01	-1.028105147
TCGA-13-0923-01	0.398743522
TCGA-13-0924-01	-0.499388493
TCGA-13-1403-01	-0.367753718
TCGA-13-1404-01	0.126532488
TCGA-13-1405-01	-1.053697343
TCGA-13-1407-01	-0.925974379
TCGA-13-1408-01	-0.273336642
TCGA-13-1409-01	-0.297197659
TCGA-13-1410-01	0.111358446
TCGA-13-1411-01	1.60642733
TCGA-13-1412-01	-0.454391772
TCGA-13-1477-01	-1.392447217
TCGA-13-1481-01	0.253707219
TCGA-13-1482-01	-0.851694364
TCGA-13-1483-01	-0.647083439
TCGA-13-1484-01	1.836059654
TCGA-13-1485-01	-1.927279925
TCGA-13-1487-01	-1.422574352
TCGA-13-1488-01	2.183718886
TCGA-13-1489-01	-0.94093453
TCGA-13-1491-01	-1.074485477
TCGA-13-1492-01	-0.24246547
TCGA-13-1494-01	0.248700894
TCGA-13-1495-01	-0.284875072
TCGA-13-1496-01	1.599229157
TCGA-13-1497-01	1.343641841
TCGA-13-1498-01	1.275097675
TCGA-13-1499-01	0.504469365
TCGA-13-1500-01	0.97894739
TCGA-13-1501-01	-0.960840661
TCGA-13-1504-01	-0.320089449
TCGA-13-1505-01	-1.000789647
TCGA-13-1506-01	-0.086012274
TCGA-13-1507-01	1.733899633
TCGA-13-1509-01	-0.758969545
TCGA-13-1510-01	0.119704017
TCGA-13-1511-01	2.762095279
TCGA-13-1512-01	1.076847555
TCGA-13-1817-01	NaN
TCGA-13-1819-01	NaN
